-0-1
0-Data-"Taxa de c̢mbio - R$ / US$ - comercial - compra - m̩dia"
1-1953.01-"6,6836E-15"
2-1953.02-"1,3378E-14"
3-1953.03-"1,3378E-14"
4-1953.04-"1,4884E-14"
5-1953.05-"1,4276E-14"
6-1953.06-"1,5670E-14"
7-1953.07-"1,5846E-14"
8-1953.08-"1,4425E-14"
9-1953.09-"1,3632E-14"
10-1953.10-"1,3491E-14"
11-1953.11-"1,3659E-14"
12-1953.12-"1,8587E-14"
13-1954.01-"1,9783E-14"
14-1954.02-"1,9416E-14"
15-1954.03-"2,1250E-14"
16-1954.04-"2,0508E-14"
17-1954.05-"1,8416E-14"
18-1954.06-"2,0012E-14"
19-1954.07-"2,0422E-14"
20-1954.08-"2,1288E-14"
21-1954.09-"2,1770E-14"
22-1954.10-"2,2550E-14"
23-1954.11-"2,3339E-14"
24-1954.12-"2,5331E-14"
25-1955.01-"2,6158E-14"
26-1955.02-"2,5468E-14"
27-1955.03-"2,5847E-14"
28-1955.04-"2,6739E-14"
29-1955.05-"2,6909E-14"
30-1955.06-"2,6897E-14"
31-1955.07-"2,6422E-14"
32-1955.08-"2,5261E-14"
33-1955.09-"2,4867E-14"
34-1955.10-"2,3613E-14"
35-1955.11-"2,2915E-14"
36-1955.12-"2,3114E-14"
37-1956.01-"2,3484E-14"
38-1956.02-"2,4357E-14"
39-1956.03-"2,4252E-14"
40-1956.04-"2,4752E-14"
41-1956.05-"2,5595E-14"
42-1956.06-"2,7636E-14"
43-1956.07-"2,7496E-14"
44-1956.08-"2,5455E-14"
45-1956.09-"2,5273E-14"
46-1956.10-"2,3636E-14"
47-1956.11-"2,3612E-14"
48-1956.12-"2,2933E-14"
49-1957.01-"2,3091E-14"
50-1957.02-"2,3113E-14"
51-1957.03-"2,3345E-14"
52-1957.04-"2,3057E-14"
53-1957.05-"2,4240E-14"
54-1957.06-"2,5909E-14"
55-1957.07-"2,5126E-14"
56-1957.08-"2,6306E-14"
57-1957.09-"2,8145E-14"
58-1957.10-"2,9294E-14"
59-1957.11-"3,0825E-14"
60-1957.12-"3,3171E-14"
61-1958.01-"3,3045E-14"
62-1958.02-"3,5479E-14"
63-1958.03-"3,6807E-14"
64-1958.04-"4,0315E-14"
65-1958.05-"4,6425E-14"
66-1958.06-"4,6558E-14"
67-1958.07-"4,7874E-14"
68-1958.08-"4,9429E-14"
69-1958.09-"5,6224E-14"
70-1958.10-"5,2279E-14"
71-1958.11-"5,0502E-14"
72-1958.12-"4,9171E-14"
73-1959.01-"5,1633E-14"
74-1959.02-"5,0578E-14"
75-1959.03-"4,9767E-14"
76-1959.04-"4,8655E-14"
